,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,12.0,0.0
31,31,25.0,0.0
32,32,32.0,0.0
33,33,46.0,0.0
34,34,64.0,0.0
35,35,93.0,0.0
36,36,105.0,0.0
37,37,161.0,1.0
38,38,162.0,1.0
39,39,422.0,4.0
40,40,585.0,5.0
41,41,753.0,6.0
42,42,1049.0,9.0
43,43,1285.0,12.0
44,44,1537.0,16.0
45,45,1865.0,19.0
46,46,2538.0,26.0
47,47,3024.0,34.0
48,48,3491.0,47.0
49,49,4596.0,66.0
50,50,5056.0,73.0
51,51,5994.0,99.0
52,52,6980.0,141.0
53,53,7695.0,163.0
54,54,8904.0,210.0
55,55,10357.0,244.0
56,56,11259.0,274.0
57,57,12262.0,307.0
58,58,12271.0,308.0
59,59,15078.0,462.0
60,60,15079.0,462.0
61,61,17887.0,597.0
62,62,19180.0,677.0
63,63,20852.0,720.0
64,64,22025.0,798.0
