,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,6.0,0.0
31,31,11.0,0.0
32,32,13.0,0.0
33,33,13.0,0.0
34,34,16.0,0.0
35,35,20.0,0.0
36,36,25.0,1.0
37,37,30.0,2.0
38,38,39.0,2.0
39,39,60.0,2.0
40,40,86.0,2.0
41,41,128.0,4.0
42,42,204.0,6.0
43,43,270.0,7.0
44,44,368.0,12.0
45,45,477.0,14.0
46,46,645.0,17.0
47,47,979.0,25.0
48,48,1233.0,31.0
49,49,1513.0,32.0
50,50,1786.0,35.0
51,51,2158.0,49.0
52,52,2564.0,65.0
53,53,3038.0,78.0
54,54,3437.0,102.0
55,55,3953.0,116.0
56,56,4411.0,127.0
57,57,4956.0,143.0
58,58,5510.0,173.0
59,59,5943.0,203.0
60,60,6351.0,245.0
61,61,6907.0,300.0
62,62,7435.0,330.0
63,63,7928.0,343.0
64,64,8359.0,350.0
