,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,1.0,0.0
31,31,1.0,0.0
32,32,1.0,0.0
33,33,5.0,1.0
34,34,8.0,1.0
35,35,8.0,1.0
36,36,11.0,1.0
37,37,18.0,1.0
38,38,18.0,1.0
39,39,34.0,1.0
40,40,44.0,1.0
41,41,57.0,2.0
42,42,65.0,2.0
43,43,84.0,2.0
44,44,100.0,2.0
45,45,134.0,3.0
46,46,172.0,3.0
47,47,206.0,4.0
48,48,266.0,4.0
49,49,330.0,7.0
50,50,372.0,8.0
51,51,434.0,9.0
52,52,485.0,10.0
53,53,553.0,12.0
54,54,629.0,18.0
55,55,698.0,21.0
56,56,751.0,22.0
57,57,849.0,25.0
58,58,912.0,29.0
59,59,1046.0,34.0
60,60,1116.0,42.0
61,61,1117.0,42.0
62,62,1275.0,55.0
63,63,1344.0,56.0
64,64,1390.0,62.0
