,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,6.0,0.0
31,31,8.0,0.0
32,32,10.0,0.0
33,33,14.0,0.0
34,34,14.0,0.0
35,35,20.0,0.0
36,36,21.0,1.0
37,37,26.0,1.0
38,38,27.0,1.0
39,39,37.0,2.0
40,40,47.0,2.0
41,41,87.0,3.0
42,42,103.0,3.0
43,43,123.0,4.0
44,44,162.0,4.0
45,45,197.0,5.0
46,46,247.0,5.0
47,47,301.0,7.0
48,48,380.0,9.0
49,49,438.0,9.0
50,50,479.0,11.0
51,51,628.0,11.0
52,52,632.0,18.0
53,53,770.0,31.0
54,54,770.0,34.0
55,55,917.0,40.0
56,56,955.0,45.0
57,57,955.0,45.0
58,58,1149.0,65.0
59,59,1149.0,65.0
60,60,1341.0,73.0
61,61,1693.0,90.0
62,62,1693.0,90.0
63,63,1963.0,97.0
64,64,2018.0,113.0
