,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,1.0,0.0
31,31,6.0,0.0
32,32,19.0,0.0
33,33,36.0,0.0
34,34,77.0,1.0
35,35,91.0,2.0
36,36,136.0,3.0
37,37,196.0,4.0
38,38,257.0,4.0
39,39,392.0,10.0
40,40,538.0,14.0
41,41,585.0,16.0
42,42,837.0,20.0
43,43,1172.0,35.0
44,44,1388.0,46.0
45,45,1795.0,65.0
46,46,2304.0,83.0
47,47,2744.0,119.0
48,48,3315.0,137.0
49,49,3540.0,151.0
50,50,4025.0,185.0
51,51,5237.0,239.0
52,52,6424.0,273.0
53,53,9149.0,310.0
54,54,10297.0,370.0
55,55,12496.0,409.0
56,56,13010.0,477.0
57,57,14867.0,512.0
58,58,16284.0,582.0
59,59,17030.0,652.0
60,60,18283.0,702.0
61,61,19253.0,755.0
62,62,20014.0,806.0
63,63,20595.0,840.0
64,64,21016.0,884.0
