,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,8.0,0.0
31,31,9.0,0.0
32,32,12.0,0.0
33,33,18.0,0.0
34,34,26.0,0.0
35,35,32.0,0.0
36,36,41.0,0.0
37,37,60.0,0.0
38,38,85.0,0.0
39,39,107.0,1.0
40,40,149.0,1.0
41,41,193.0,2.0
42,42,244.0,3.0
43,43,290.0,3.0
44,44,349.0,4.0
45,45,425.0,4.0
46,46,583.0,4.0
47,47,775.0,5.0
48,48,995.0,5.0
49,49,1239.0,10.0
50,50,1413.0,15.0
51,51,1660.0,18.0
52,52,1986.0,31.0
53,53,2331.0,36.0
54,54,2758.0,43.0
55,55,3125.0,54.0
56,56,3617.0,67.0
57,57,4045.0,91.0
58,58,4371.0,103.0
59,59,5529.0,124.0
60,60,6185.0,138.0
61,61,6968.0,171.0
62,62,7694.0,206.0
63,63,8225.0,236.0
64,64,8936.0,262.0
