,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,92.0,0.0
31,31,95.0,0.0
32,32,108.0,0.0
33,33,123.0,0.0
34,34,138.0,0.0
35,35,164.0,0.0
36,36,197.0,0.0
37,37,218.0,0.0
38,38,218.0,0.0
39,39,328.0,0.0
40,40,413.0,1.0
41,41,525.0,1.0
42,42,646.0,5.0
43,43,777.0,9.0
44,44,1159.0,11.0
45,45,1838.0,15.0
46,46,2417.0,25.0
47,47,3240.0,35.0
48,48,4257.0,44.0
49,49,4955.0,48.0
50,50,5752.0,56.0
51,51,6620.0,89.0
52,52,7738.0,122.0
53,53,8966.0,154.0
54,54,10402.0,192.0
55,55,11736.0,216.0
56,56,12500.0,231.0
57,57,13837.0,260.0
58,58,15202.0,356.0
59,59,16790.0,433.0
60,60,18941.0,503.0
61,61,20974.0,599.0
62,62,22860.0,686.0
63,63,25475.0,756.0
64,64,26867.0,844.0
