,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,0.0,0.0
31,31,0.0,0.0
32,32,1.0,0.0
33,33,1.0,0.0
34,34,6.0,0.0
35,35,10.0,0.0
36,36,13.0,0.0
37,37,21.0,0.0
38,38,34.0,0.0
39,39,50.0,1.0
40,40,80.0,1.0
41,41,140.0,1.0
42,42,207.0,1.0
43,43,249.0,1.0
44,44,320.0,1.0
45,45,377.0,3.0
46,46,485.0,6.0
47,47,579.0,8.0
48,48,663.0,13.0
49,49,759.0,14.0
50,50,847.0,16.0
51,51,937.0,20.0
52,52,1073.0,22.0
53,53,1177.0,26.0
54,54,1358.0,29.0
55,55,1455.0,35.0
56,56,1638.0,43.0
57,57,1738.0,51.0
58,58,1915.0,60.0
59,59,2003.0,67.0
60,60,2260.0,76.0
61,61,2469.0,82.0
62,62,2642.0,93.0
63,63,2781.0,96.0
64,64,2942.0,98.0
