,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,1.0,0.0
31,31,1.0,0.0
32,32,1.0,0.0
33,33,2.0,0.0
34,34,4.0,0.0
35,35,5.0,0.0
36,36,6.0,0.0
37,37,11.0,0.0
38,38,18.0,0.0
39,39,31.0,1.0
40,40,53.0,2.0
41,41,74.0,3.0
42,42,87.0,3.0
43,43,187.0,4.0
44,44,257.0,7.0
45,45,354.0,8.0
46,46,520.0,9.0
47,47,666.0,9.0
48,48,836.0,10.0
49,49,915.0,13.0
50,50,1051.0,13.0
51,51,1357.0,15.0
52,52,1613.0,18.0
53,53,1857.0,22.0
54,54,1864.0,25.0
55,55,2310.0,33.0
56,56,2347.0,44.0
57,57,2736.0,47.0
58,58,3130.0,65.0
59,59,3209.0,86.0
60,60,3432.0,93.0
61,61,3897.0,99.0
62,62,4108.0,116.0
63,63,4269.0,118.0
64,64,4515.0,123.0
