,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,4.0,0.0
31,31,7.0,0.0
32,32,14.0,0.0
33,33,17.0,0.0
34,34,21.0,0.0
35,35,24.0,0.0
36,36,45.0,1.0
37,37,56.0,1.0
38,38,55.0,1.0
39,39,95.0,1.0
40,40,114.0,1.0
41,41,161.0,2.0
42,42,190.0,2.0
43,43,245.0,4.0
44,44,278.0,4.0
45,45,323.0,6.0
46,46,420.0,10.0
47,47,536.0,10.0
48,48,626.0,10.0
49,49,920.0,15.0
50,50,1012.0,15.0
51,51,1114.0,26.0
52,52,1279.0,31.0
53,53,1463.0,38.0
54,54,1514.0,43.0
55,55,1742.0,46.0
56,56,1855.0,46.0
57,57,1953.0,46.0
58,58,2124.0,72.0
59,59,2259.0,72.0
60,60,2456.0,81.0
61,61,2722.0,90.0
62,62,2702.0,102.0
63,63,2836.0,112.0
64,64,2990.0,114.0
