,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,15.0,1.0
31,31,23.0,1.0
32,32,29.0,1.0
33,33,29.0,1.0
34,34,69.0,1.0
35,35,98.0,2.0
36,36,178.0,2.0
37,37,267.0,3.0
38,38,267.0,3.0
39,39,742.0,9.0
40,40,890.0,11.0
41,41,1327.0,16.0
42,42,1914.0,20.0
43,43,2844.0,27.0
44,44,3675.0,44.0
45,45,4402.0,62.0
46,46,6876.0,81.0
47,47,8825.0,108.0
48,48,11124.0,140.0
49,49,13386.0,161.0
50,50,16636.0,198.0
51,51,18696.0,267.0
52,52,22255.0,355.0
53,53,25590.0,537.0
54,54,29895.0,646.0
55,55,34124.0,846.0
56,56,37505.0,917.0
57,57,41090.0,1003.0
58,58,44416.0,1232.0
59,59,47437.0,1504.0
60,60,51027.0,1709.0
61,61,54588.0,1932.0
62,62,58151.0,2183.0
63,63,61850.0,2350.0
64,64,64584.0,2443.0
