,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,173.0,0.0
31,31,220.0,0.0
32,32,328.0,0.0
33,33,421.0,0.0
34,34,525.0,2.0
35,35,732.0,3.0
36,36,967.0,10.0
37,37,1706.0,13.0
38,38,2495.0,16.0
39,39,5365.0,34.0
40,40,8310.0,42.0
41,41,11710.0,60.0
42,42,15800.0,117.0
43,43,20884.0,158.0
44,44,25681.0,210.0
45,45,30841.0,285.0
46,46,37877.0,385.0
47,47,44876.0,527.0
48,48,52410.0,728.0
49,49,59648.0,965.0
50,50,66663.0,1218.0
51,51,75833.0,1550.0
52,52,83948.0,1941.0
53,53,92506.0,2373.0
54,54,102987.0,2935.0
55,55,113833.0,3565.0
56,56,123160.0,4159.0
57,57,131815.0,4698.0
58,58,139875.0,5489.0
59,59,151061.0,6268.0
60,60,161779.0,7067.0
61,61,172348.0,7867.0
62,62,181026.0,8627.0
63,63,189033.0,9385.0
64,64,195749.0,10058.0
