,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,7.0,0.0
31,31,7.0,0.0
32,32,15.0,0.0
33,33,17.0,0.0
34,34,24.0,0.0
35,35,33.0,0.0
36,36,38.0,0.0
37,37,64.0,0.0
38,38,70.0,0.0
39,39,123.0,0.0
40,40,172.0,0.0
41,41,253.0,0.0
42,42,305.0,0.0
43,43,353.0,0.0
44,44,495.0,0.0
45,45,590.0,2.0
46,46,738.0,3.0
47,47,887.0,4.0
48,48,1020.0,5.0
49,49,1191.0,7.0
50,50,1313.0,7.0
51,51,1535.0,12.0
52,52,1675.0,14.0
53,53,1977.0,21.0
54,54,2251.0,27.0
55,55,2486.0,34.0
56,56,2649.0,38.0
57,57,2962.0,45.0
58,58,3299.0,53.0
59,59,3499.0,66.0
60,60,3736.0,76.0
61,61,3965.0,83.0
62,62,4354.0,89.0
63,63,4570.0,89.0
64,64,4886.0,94.0
