,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,0.0,0.0
31,31,0.0,0.0
32,32,1.0,0.0
33,33,1.0,0.0
34,34,1.0,0.0
35,35,1.0,0.0
36,36,1.0,0.0
37,37,3.0,0.0
38,38,6.0,0.0
39,39,18.0,0.0
40,40,19.0,0.0
41,41,28.0,0.0
42,42,28.0,0.0
43,43,30.0,0.0
44,44,36.0,0.0
45,45,45.0,0.0
46,46,51.0,0.0
47,47,68.0,1.0
48,48,94.0,1.0
49,49,98.0,1.0
50,50,109.0,2.0
51,51,122.0,3.0
52,52,142.0,3.0
53,53,159.0,3.0
54,54,173.0,3.0
55,55,186.0,3.0
56,56,207.0,3.0
57,57,225.0,3.0
58,58,237.0,4.0
59,59,251.0,4.0
60,60,269.0,5.0
61,61,278.0,6.0
62,62,293.0,7.0
63,63,308.0,7.0
64,64,331.0,8.0
