,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,3.0,0.0
31,31,4.0,0.0
32,32,5.0,0.0
33,33,13.0,0.0
34,34,26.0,0.0
35,35,37.0,0.0
36,36,50.0,0.0
37,37,67.0,0.0
38,38,86.0,0.0
39,39,119.0,0.0
40,40,173.0,2.0
41,41,248.0,3.0
42,42,356.0,3.0
43,43,443.0,6.0
44,44,567.0,8.0
45,45,704.0,11.0
46,46,868.0,15.0
47,47,1137.0,19.0
48,48,1406.0,25.0
49,49,1653.0,29.0
50,50,1933.0,40.0
51,51,2199.0,55.0
52,52,2547.0,65.0
53,53,2901.0,81.0
54,54,3312.0,91.0
55,55,3739.0,102.0
56,56,4043.0,119.0
57,57,4453.0,142.0
58,58,4782.0,167.0
59,59,5148.0,193.0
60,60,5512.0,213.0
61,61,5878.0,231.0
62,62,6250.0,247.0
63,63,6604.0,253.0
64,64,6975.0,274.0
