,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,3.0,0.0
31,31,5.0,0.0
32,32,5.0,0.0
33,33,14.0,0.0
34,34,20.0,0.0
35,35,20.0,0.0
36,36,21.0,0.0
37,37,23.0,0.0
38,38,33.0,0.0
39,39,44.0,0.0
40,40,54.0,0.0
41,41,66.0,0.0
42,42,83.0,0.0
43,43,106.0,0.0
44,44,124.0,0.0
45,45,132.0,0.0
46,46,165.0,0.0
47,47,203.0,0.0
48,48,239.0,2.0
49,49,294.0,3.0
50,50,408.0,4.0
51,51,488.0,8.0
52,52,566.0,10.0
53,53,645.0,12.0
54,54,711.0,14.0
55,55,806.0,17.0
56,56,922.0,25.0
57,57,1082.0,27.0
58,58,1229.0,30.0
59,59,1450.0,35.0
60,60,1727.0,43.0
61,61,1727.0,43.0
62,62,2349.0,56.0
63,63,2665.0,63.0
64,64,2665.0,63.0
