,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,7.0,0.0
31,31,10.0,0.0
32,32,12.0,0.0
33,33,13.0,0.0
34,34,19.0,0.0
35,35,28.0,0.0
36,36,33.0,1.0
37,37,47.0,1.0
38,38,47.0,1.0
39,39,81.0,1.0
40,40,126.0,1.0
41,41,171.0,3.0
42,42,196.0,3.0
43,43,298.0,5.0
44,44,342.0,5.0
45,45,424.0,7.0
46,46,424.0,9.0
47,47,542.0,13.0
48,48,660.0,15.0
49,49,774.0,16.0
50,50,925.0,18.0
51,51,1083.0,22.0
52,52,1293.0,26.0
53,53,1554.0,31.0
54,54,1700.0,34.0
55,55,1917.0,40.0
56,56,2049.0,44.0
57,57,2232.0,48.0
58,58,2417.0,51.0
59,59,2417.0,51.0
60,60,2793.0,67.0
61,61,3067.0,72.0
62,62,3211.0,80.0
63,63,3320.0,82.0
64,64,3391.0,82.0
