,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,7.0,0.0
31,31,9.0,0.0
32,32,18.0,0.0
33,33,26.0,0.0
34,34,32.0,0.0
35,35,39.0,0.0
36,36,52.0,0.0
37,37,74.0,0.0
38,38,79.0,0.0
39,39,154.0,0.0
40,40,233.0,0.0
41,41,371.0,1.0
42,42,505.0,2.0
43,43,614.0,2.0
44,44,772.0,2.0
45,45,916.0,3.0
46,46,1097.0,3.0
47,47,1318.0,6.0
48,48,1511.0,7.0
49,49,1720.0,8.0
50,50,1917.0,14.0
51,51,2391.0,23.0
52,52,2933.0,24.0
53,53,3013.0,36.0
54,54,3067.0,41.0
55,55,3322.0,50.0
56,56,3633.0,53.0
57,57,3802.0,65.0
58,58,4139.0,72.0
59,59,4363.0,80.0
60,60,4634.0,94.0
61,61,4891.0,98.0
62,62,5132.0,106.0
63,63,5508.0,106.0
64,64,5610.0,109.0
