,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,2.0,0.0
31,31,3.0,0.0
32,32,5.0,0.0
33,33,9.0,0.0
34,34,10.0,0.0
35,35,28.0,0.0
36,36,39.0,0.0
37,37,51.0,0.0
38,38,51.0,0.0
39,39,80.0,0.0
40,40,78.0,0.0
41,41,136.0,0.0
42,42,162.0,1.0
43,43,257.0,1.0
44,44,298.0,1.0
45,45,340.0,1.0
46,46,396.0,1.0
47,47,472.0,1.0
48,48,602.0,1.0
49,49,720.0,2.0
50,50,798.0,4.0
51,51,888.0,5.0
52,52,888.0,5.0
53,53,1092.0,7.0
54,54,1255.0,7.0
55,55,1435.0,8.0
56,56,1608.0,8.0
57,57,1685.0,13.0
58,58,1746.0,13.0
59,59,1855.0,13.0
60,60,1856.0,13.0
61,61,2103.0,17.0
62,62,2207.0,18.0
63,63,2303.0,18.0
64,64,2363.0,13.0
