,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,1.0,0.0
31,31,1.0,0.0
32,32,2.0,0.0
33,33,2.0,0.0
34,34,5.0,0.0
35,35,8.0,0.0
36,36,12.0,0.0
37,37,12.0,0.0
38,38,18.0,0.0
39,39,22.0,0.0
40,40,29.0,2.0
41,41,29.0,2.0
42,42,52.0,2.0
43,43,75.0,5.0
44,44,95.0,7.0
45,45,125.0,8.0
46,46,158.0,9.0
47,47,184.0,10.0
48,48,211.0,12.0
49,49,235.0,12.0
50,50,256.0,12.0
51,51,293.0,13.0
52,52,321.0,16.0
53,53,338.0,17.0
54,54,389.0,17.0
55,55,461.0,20.0
56,56,512.0,22.0
57,57,543.0,23.0
58,58,575.0,23.0
59,59,605.0,23.0
60,60,628.0,23.0
61,61,679.0,24.0
62,62,711.0,25.0
63,63,727.0,27.0
64,64,748.0,28.0
