,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,7.0,0.0
31,31,9.0,0.0
32,32,17.0,0.0
33,33,30.0,0.0
34,34,41.0,1.0
35,35,45.0,1.0
36,36,49.0,1.0
37,37,67.0,2.0
38,38,77.0,2.0
39,39,99.0,2.0
40,40,122.0,2.0
41,41,156.0,2.0
42,42,220.0,6.0
43,43,254.0,6.0
44,44,293.0,9.0
45,45,396.0,9.0
46,46,466.0,10.0
47,47,607.0,10.0
48,48,740.0,13.0
49,49,890.0,20.0
50,50,1020.0,15.0
51,51,1249.0,27.0
52,52,1483.0,34.0
53,53,1706.0,41.0
54,54,2012.0,46.0
55,55,2407.0,52.0
56,56,2640.0,52.0
57,57,2878.0,66.0
58,58,3335.0,66.0
59,59,3645.0,66.0
60,60,4042.0,109.0
61,61,4509.0,121.0
62,62,5077.0,130.0
63,63,5274.0,141.0
64,64,5747.0,149.0
