,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,267.0,23.0
31,31,366.0,29.0
32,32,442.0,31.0
33,33,568.0,37.0
34,34,572.0,37.0
35,35,643.0,40.0
36,36,904.0,48.0
37,37,1076.0,55.0
38,38,1014.0,55.0
39,39,1376.0,74.0
40,40,1524.0,83.0
41,41,1793.0,94.0
42,42,1997.0,97.0
43,43,2221.0,109.0
44,44,2328.0,116.0
45,45,2591.0,133.0
46,46,3207.0,150.0
47,47,3477.0,157.0
48,48,4030.0,188.0
49,49,4465.0,198.0
50,50,4923.0,205.0
51,51,5432.0,225.0
52,52,5608.0,234.0
53,53,6389.0,271.0
54,54,6846.0,291.0
55,55,7247.0,315.0
56,56,7825.0,336.0
57,57,8311.0,381.0
58,58,8692.0,400.0
59,59,9276.0,426.0
60,60,9639.0,456.0
61,61,10119.0,483.0
62,62,10434.0,495.0
63,63,10609.0,506.0
64,64,10635.0,513.0
