,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,0.0,0.0
31,31,0.0,0.0
32,32,0.0,0.0
33,33,0.0,0.0
34,34,0.0,0.0
35,35,0.0,0.0
36,36,0.0,0.0
37,37,1.0,0.0
38,38,1.0,0.0
39,39,2.0,0.0
40,40,7.0,0.0
41,41,8.0,0.0
42,42,16.0,0.0
43,43,16.0,0.0
44,44,22.0,0.0
45,45,39.0,0.0
46,46,52.0,0.0
47,47,76.0,0.0
48,48,96.0,0.0
49,49,113.0,0.0
50,50,145.0,1.0
51,51,162.0,1.0
52,52,191.0,1.0
53,53,216.0,2.0
54,54,237.0,2.0
55,55,282.0,2.0
56,56,324.0,3.0
57,57,345.0,4.0
58,58,412.0,4.0
59,59,483.0,4.0
60,60,514.0,5.0
61,61,574.0,5.0
62,62,577.0,5.0
63,63,593.0,6.0
64,64,611.0,8.0
