,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,0.0,0.0
31,31,0.0,0.0
32,32,1.0,0.0
33,33,1.0,0.0
34,34,2.0,0.0
35,35,3.0,0.0
36,36,3.0,0.0
37,37,11.0,0.0
38,38,15.0,0.0
39,39,18.0,0.0
40,40,19.0,0.0
41,41,23.0,0.0
42,42,26.0,0.0
43,43,26.0,0.0
44,44,29.0,0.0
45,45,44.0,0.0
46,46,53.0,0.0
47,47,70.0,0.0
48,48,82.0,0.0
49,49,86.0,0.0
50,50,94.0,0.0
51,51,109.0,0.0
52,52,130.0,0.0
53,53,150.0,0.0
54,54,162.0,0.0
55,55,187.0,0.0
56,56,197.0,0.0
57,57,210.0,0.0
58,58,216.0,0.0
59,59,221.0,0.0
60,60,230.0,0.0
61,61,239.0,0.0
62,62,261.0,0.0
63,63,270.0,0.0
64,64,275.0,1.0
