,index,ConfirmedCases,Fatalities
0,0,7.0,0.0
1,1,8.0,0.0
2,2,8.0,0.0
3,3,8.0,0.0
4,4,8.0,0.0
5,5,8.0,0.0
6,6,8.0,0.0
7,7,9.0,0.0
8,8,9.0,0.0
9,9,9.0,0.0
10,10,9.0,0.0
11,11,9.0,0.0
12,12,9.0,0.0
13,13,13.0,0.0
14,14,13.0,0.0
15,15,13.0,0.0
16,16,13.0,0.0
17,17,13.0,0.0
18,18,13.0,0.0
19,19,19.0,0.0
20,20,21.0,0.0
21,21,21.0,0.0
22,22,21.0,0.0
23,23,27.0,0.0
24,24,27.0,0.0
25,25,29.0,0.0
26,26,29.0,0.0
27,27,45.0,0.0
28,28,45.0,0.0
29,29,45.0,0.0
30,30,74.0,0.0
31,31,74.0,0.0
32,32,85.0,0.0
33,33,85.0,0.0
34,34,85.0,0.0
35,35,98.0,0.0
36,36,98.0,0.0
37,37,98.0,0.0
38,38,113.0,0.0
39,39,140.0,0.0
40,40,140.0,2.0
41,41,153.0,2.0
42,42,153.0,2.0
43,43,198.0,2.0
44,44,248.0,2.0
45,45,333.0,2.0
46,46,333.0,2.0
47,47,405.0,2.0
48,48,468.0,2.0
49,49,570.0,3.0
50,50,611.0,5.0
51,51,664.0,6.0
52,52,814.0,8.0
53,53,1024.0,8.0
54,54,1264.0,9.0
55,55,1505.0,10.0
56,56,1799.0,10.0
57,57,2076.0,11.0
58,58,2359.0,12.0
59,59,2659.0,12.0
60,60,2990.0,14.0
61,61,3360.0,16.0
62,62,3736.0,20.0
63,63,4123.0,22.0
64,64,4521.0,25.0
