,index,ConfirmedCases,Fatalities
0,0,13.0,0.0
1,1,14.0,0.0
2,2,15.0,0.0
3,3,15.0,0.0
4,4,16.0,0.0
5,5,16.0,0.0
6,6,16.0,0.0
7,7,16.0,0.0
8,8,16.0,0.0
9,9,16.0,0.0
10,10,16.0,0.0
11,11,16.0,0.0
12,12,16.0,0.0
13,13,16.0,0.0
14,14,16.0,0.0
15,15,16.0,0.0
16,16,16.0,0.0
17,17,16.0,0.0
18,18,16.0,0.0
19,19,16.0,0.0
20,20,16.0,0.0
21,21,16.0,0.0
22,22,16.0,0.0
23,23,16.0,0.0
24,24,16.0,0.0
25,25,16.0,0.0
26,26,16.0,0.0
27,27,18.0,0.0
28,28,30.0,0.0
29,29,30.0,0.0
30,30,31.0,0.0
31,31,38.0,0.0
32,32,39.0,0.0
33,33,47.0,0.0
34,34,53.0,0.0
35,35,56.0,0.0
36,36,61.0,0.0
37,37,66.0,0.0
38,38,75.0,0.0
39,39,85.0,0.0
40,40,91.0,0.0
41,41,94.0,0.0
42,42,113.0,0.0
43,43,123.0,0.0
44,44,134.0,0.0
45,45,141.0,0.0
46,46,153.0,0.0
47,47,163.0,0.0
48,48,174.0,0.0
49,49,188.0,0.0
50,50,203.0,0.0
51,51,212.0,0.0
52,52,218.0,0.0
53,53,233.0,0.0
54,54,237.0,0.0
55,55,240.0,0.0
56,56,241.0,0.0
57,57,245.0,0.0
58,58,249.0,0.0
59,59,251.0,0.0
60,60,255.0,0.0
61,61,257.0,0.0
62,62,258.0,0.0
63,63,262.0,0.0
64,64,265.0,0.0
