,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,4.0,0.0
26,26,7.0,0.0
27,27,16.0,0.0
28,28,16.0,0.0
29,29,19.0,0.0
30,30,26.0,0.0
31,31,30.0,0.0
32,32,30.0,0.0
33,33,31.0,0.0
34,34,35.0,0.0
35,35,38.0,0.0
36,36,38.0,0.0
37,37,39.0,0.0
38,38,41.0,0.0
39,39,44.0,0.0
40,40,47.0,0.0
41,41,48.0,0.0
42,42,52.0,0.0
43,43,59.0,0.0
44,44,59.0,0.0
45,45,59.0,0.0
46,46,84.0,1.0
47,47,91.0,1.0
48,48,98.0,1.0
49,49,109.0,1.0
50,50,116.0,1.0
51,51,119.0,1.0
52,52,134.0,1.0
53,53,161.0,1.0
54,54,194.0,1.0
55,55,217.0,1.0
56,56,237.0,1.0
57,57,254.0,1.0
58,58,261.0,1.0
59,59,263.0,1.0
60,60,263.0,1.0
61,61,267.0,2.0
62,62,268.0,2.0
63,63,290.0,2.0
64,64,308.0,2.0
